fips,county,state,state_name,lat,lon,land_sq_mi,population,septic_dominant_class,septic_dominant_share_pct,septic_very_limited_pct
51057,Essex County,VA,Virginia,37.9364,-76.9337,257.34,10683,Very limited,90.4,90.4
02185,North Slope Borough,AK,Alaska,69.4493,-153.4728,88792.783,10663,,,
37187,Washington County,NC,North Carolina,35.8447,-76.5723,346.51,10654,Very limited,81.6,81.6
19131,Mitchell County,IA,Iowa,43.3486,-92.7845,469.256,10632,Very limited,97.6,97.6
19115,Louisa County,IA,Iowa,41.2182,-91.257,401.777,10630,Very limited,94.9,94.9
26001,Alcona County,MI,Michigan,44.6575,-83.2946,674.655,10624,Very limited,88.6,88.6
19081,Hancock County,IA,Iowa,43.0754,-93.7437,571.005,10616,Very limited,93,93
29017,Bollinger County,MO,Missouri,37.3184,-90.0246,617.904,10610,Very limited,94.4,94.4
21169,Metcalfe County,KY,Kentucky,36.9924,-85.6335,289.651,10558,Very limited,67.3,67.3
16009,Benewah County,ID,Idaho,47.2185,-116.6335,776.932,10529,,,
18025,Crawford County,IN,Indiana,38.2894,-86.4409,305.613,10523,Very limited,92.2,92.2
29173,Ralls County,MO,Missouri,39.5535,-91.5248,469.793,10499,Very limited,95.3,95.3
31041,Custer County,NE,Nebraska,41.3939,-99.7269,2575.458,10487,Very limited,78.2,78.2
13173,Lanier County,GA,Georgia,31.0382,-83.0632,196.537,10464,,,
13099,Early County,GA,Georgia,31.3242,-84.9067,512.6,10444,,,
40085,Love County,OK,Oklahoma,33.9578,-97.2451,513.914,10423,Very limited,71.6,71.6
31145,Red Willow County,NE,Nebraska,40.1694,-100.4686,717.17,10409,Somewhat limited,66.1,33.5
19189,Winnebago County,IA,Iowa,43.3781,-93.7435,400.489,10383,Very limited,87.7,87.7
05041,Desha County,AR,Arkansas,33.8288,-91.2441,741.227,10321,Very limited,81.8,81.8
17035,Cumberland County,IL,Illinois,39.2731,-88.2406,345.946,10305,Very limited,96.2,96.2
37073,Gates County,NC,North Carolina,36.4421,-76.7024,340.612,10299,Very limited,98.1,98.1
